file,gps_week,gps_tow_s,time_status,sol_status,pos_type,tracked,used,horizontal_sigma_m,vertical_sigma_m,diff_age_s,station_id
gnss_raw.txt,2437,380067.100,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,22,21,8.675,10.5822,1.1,1314
gnss_raw.txt,2437,380067.200,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,22,21,8.675,10.5822,1.2,1314
gnss_raw.txt,2437,380067.300,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,22,21,8.675,10.5822,1.3,1314
gnss_raw.txt,2437,380067.400,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,22,21,8.675,10.5822,1.4,1314
gnss_raw.txt,2437,380067.500,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,22,21,8.675,10.5822,1.5,1314
gnss_raw.txt,2437,380067.600,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,22,21,8.675,10.5822,1.6,1314
gnss_raw.txt,2437,380067.700,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,22,21,8.675,10.5822,1.7,1314
gnss_raw.txt,2437,380067.800,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,22,21,8.675,10.5822,0.8,1314
gnss_raw.txt,2437,380067.900,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,22,21,8.675,10.5822,0.9,1314
gnss_raw.txt,2437,380068.000,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,22,21,9.4621,11.5457,1.0,1314
gnss_raw.txt,2437,380068.100,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,22,21,9.4621,11.5457,1.1,1314
gnss_raw.txt,2437,380068.200,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,22,21,9.4621,11.5457,1.2,1314
gnss_raw.txt,2437,380068.300,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,22,21,9.4621,11.5457,1.3,1314
gnss_raw.txt,2437,380068.400,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,22,21,9.4621,11.5457,1.4,1314
gnss_raw.txt,2437,380068.500,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,22,21,9.4621,11.5457,1.5,1314
gnss_raw.txt,2437,380068.600,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,22,21,9.4622,11.5457,1.6,1314
gnss_raw.txt,2437,380068.700,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,22,21,9.4622,11.5457,1.7,1314
gnss_raw.txt,2437,380068.800,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,22,21,9.4622,11.5458,0.8,1314
gnss_raw.txt,2437,380068.900,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,22,21,9.4622,11.5458,0.9,1314
gnss_raw.txt,2437,380069.000,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,22,21,8.399,10.4768,1.0,1314
gnss_raw.txt,2437,380069.100,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,22,21,8.399,10.4769,1.1,1314
gnss_raw.txt,2437,380069.200,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,22,21,8.399,10.4769,1.2,1314
gnss_raw.txt,2437,380069.300,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,22,21,8.3991,10.4769,1.3,1314
gnss_raw.txt,2437,380069.400,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,22,21,8.3991,10.4769,1.4,1314
gnss_raw.txt,2437,380069.500,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,22,21,8.3991,10.4769,1.5,1314
gnss_raw.txt,2437,380069.600,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,22,21,8.3991,10.4769,1.6,1314
gnss_raw.txt,2437,380069.700,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,22,21,8.3991,10.4769,1.7,1314
gnss_raw.txt,2437,380069.800,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,22,21,8.3991,10.4769,1.8,1314
gnss_raw.txt,2437,380069.900,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,22,21,8.3991,10.4769,0.9,1314
gnss_raw.txt,2437,380070.000,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,22,21,5.9076,7.6404,1.0,1314
gnss_raw.txt,2437,380070.100,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,23,22,5.9076,7.6404,1.1,1314
gnss_raw.txt,2437,380070.200,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,23,22,5.9076,7.6404,1.2,1314
gnss_raw.txt,2437,380070.300,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,23,22,5.9076,7.6405,1.3,1314
gnss_raw.txt,2437,380070.400,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,23,22,5.9076,7.6405,1.4,1314
gnss_raw.txt,2437,380070.500,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,23,22,5.9077,7.6405,1.5,1314
gnss_raw.txt,2437,380070.600,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,23,22,5.9077,7.6405,1.6,1314
gnss_raw.txt,2437,380070.700,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,23,22,5.9077,7.6405,1.7,1314
gnss_raw.txt,2437,380070.800,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,23,22,5.9077,7.6405,1.8,1314
gnss_raw.txt,2437,380070.900,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,23,22,5.9077,7.6405,1.9,1314
gnss_raw.txt,2437,380071.000,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,23,22,7.3102,9.727,2.0,1314
gnss_raw.txt,2437,380071.100,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,23,22,7.3102,9.727,2.1,1314
gnss_raw.txt,2437,380071.200,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,23,22,7.3102,9.727,1.2,1314
gnss_raw.txt,2437,380071.300,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,23,22,7.3102,9.727,1.3,1314
gnss_raw.txt,2437,380071.400,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,23,22,7.3103,9.727,1.4,1314
gnss_raw.txt,2437,380071.500,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,24,23,7.3103,9.727,1.5,1314
gnss_raw.txt,2437,380071.600,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,24,23,7.3103,9.727,1.6,1314
gnss_raw.txt,2437,380071.700,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,24,23,7.3103,9.727,1.7,1314
gnss_raw.txt,2437,380071.800,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,24,23,7.3103,9.727,0.8,1314
gnss_raw.txt,2437,380071.900,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,24,23,7.3103,9.727,0.9,1314
gnss_raw.txt,2437,380072.000,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,24,23,10.5697,13.9488,1.0,1314
gnss_raw.txt,2437,380072.100,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,24,23,10.5697,13.9488,1.1,1314
gnss_raw.txt,2437,380072.200,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,24,23,10.5697,13.9488,1.2,1314
gnss_raw.txt,2437,380072.300,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,24,23,10.5697,13.9488,1.3,1314
gnss_raw.txt,2437,380072.400,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,24,23,10.5697,13.9488,1.4,1314
gnss_raw.txt,2437,380072.500,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,24,23,10.5697,13.9488,1.5,1314
gnss_raw.txt,2437,380072.600,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,24,23,10.5697,13.9488,1.6,1314
gnss_raw.txt,2437,380072.700,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,24,23,10.5697,13.9488,0.7,1314
gnss_raw.txt,2437,380072.800,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,24,23,10.5697,13.9488,0.8,1314
gnss_raw.txt,2437,380072.900,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,24,23,10.5697,13.9488,0.9,1314
gnss_raw.txt,2437,380073.000,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,24,23,3.6919,4.9803,1.0,1314
gnss_raw.txt,2437,380073.100,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,24,23,3.6919,4.9803,1.1,1314
gnss_raw.txt,2437,380073.200,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,24,23,3.692,4.9803,1.2,1314
gnss_raw.txt,2437,380073.300,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,24,23,3.692,4.9803,1.3,1314
